tag_as_of_date,pool_as_of_date,universe_name,ts_code,name,industry,market,exchange,match_reason
20250101,20250101,zz500,688047.SH,龙芯中科,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688052.SH,纳芯微,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688065.SH,凯赛生物,化工原料,科创板,SSE,半导体设备/材料
20250101,20250101,zz500,688072.SH,拓荆科技,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688099.SH,晶晨股份,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688120.SH,华海清科,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688153.SH,唯捷创芯,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688172.SH,燕东微,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688188.SH,柏楚电子,专用机械,科创板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,688213.SH,思特威-W,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688220.SH,翱捷科技-U,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688234.SH,天岳先进,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688249.SH,晶合集成,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688361.SH,中科飞测,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688375.SH,国博电子,元器件,科创板,SSE,CPO/光模块;PCB/服务器/高速连接;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688385.SH,复旦微电,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688387.SH,信科移动-U,通信设备,科创板,SSE,CPO/光模块;PCB/服务器/高速连接
20250101,20250101,zz500,688469.SH,芯联集成-U,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688475.SH,萤石网络,IT设备,科创板,SSE,PCB/服务器/高速连接;存储/HBM/先进封装
20250101,20250101,zz500,688516.SH,奥特维,专用机械,科创板,SSE,半导体设备/材料;机器人本体/工业自动化
20250101,20250101,zz500,688521.SH,芯原股份,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688525.SH,佰维存储,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688536.SH,思瑞浦,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688538.SH,和辉光电-U,半导体,科创板,SSE,半导体设备/材料;存储/HBM/先进封装;芯片设计/功率半导体
20250101,20250101,zz500,688777.SH,中控技术,专用机械,科创板,SSE,半导体设备/材料;机器人本体/工业自动化
