as_of_date,ts_code,name,industry,market,exchange,theme,sub_theme,source,confidence,evidence,valid_from,valid_to
20250101,300177.SZ,中海达,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300183.SZ,东软载波,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300184.SZ,力源信息,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300205.SZ,*ST天喻,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300211.SZ,*ST亿通,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300213.SZ,佳讯飞鸿,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300219.SZ,鸿利智汇,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300232.SZ,洲明科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300252.SZ,金信诺,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备,20250101,
20250101,300256.SZ,星星科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300269.SZ,联建光电,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300279.SZ,和晶科技,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300296.SZ,利亚德,元器件,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:元器件,20250101,
20250101,300308.SZ,中际旭创,通信设备,创业板,SZSE,AI算力,CPO/光模块,stock_basic_keyword,0.75,industry:通信设备;name:中际,20250101,
